Model,waistDiameterMm,rightDiameterMm,leftDiameterMm,waistLengthMm,lengthMm
9-ASD-004,4,12,16,3,12
9-ASD-005,5,13,17,3,12
9-ASD-006,6,14,18,3,12
9-ASD-007,7,15,19,3,12
9-ASD-008,8,16,20,3,12
9-ASD-009,9,17,21,3,12
9-ASD-010,10,18,22,3,12
9-ASD-011,11,21,25,4,16
9-ASD-012,12,22,26,4,16
9-ASD-013,13,23,27,4,16
9-ASD-014,14,24,28,4,16
9-ASD-015,15,25,29,4,16
9-ASD-016,16,26,30,4,16
9-ASD-017,17,27,31,4,16
9-ASD-018,18,28,32,4,16
9-ASD-019,19,29,33,4,16
9-ASD-020,20,30,34,4,16
9-ASD-022,22,32,36,4,16
9-ASD-024,24,34,38,4,16
9-ASD-026,26,36,40,4,16
9-ASD-028,28,38,42,4,16
9-ASD-030,30,40,44,4,16
9-ASD-032,32,42,46,4,16
9-ASD-034,34,44,50,4,16
9-ASD-036,36,46,52,4,16
9-ASD-038,38,48,54,4,16